epoch,lr,train_mse,train_ade,val_mse,val_ade,acc@2,acc@5,acc@10
1,0.00100000,2269.966797,65.750112,1904.612928,60.060427,0.000000,0.000000,0.223214
2,0.00100000,1558.265450,53.879529,1301.011806,49.044670,0.000000,0.000000,0.334821
3,0.00100000,1066.301219,43.884001,886.087448,39.792682,0.000000,0.000000,0.558036
4,0.00100000,711.905252,35.066471,581.396294,31.426209,0.111607,1.339286,4.408482
5,0.00100000,458.897535,27.302508,370.466110,24.343179,1.227679,4.296875,12.965030
6,0.00100000,294.604550,21.163534,242.722311,19.172343,3.534226,8.723958,21.112351
7,0.00100000,204.157179,17.132495,177.723992,16.073978,4.259673,13.690476,31.361607
8,0.00100000,155.871868,14.611945,141.797371,14.054802,7.049851,19.177827,38.671875
9,0.00100000,127.645258,12.927231,117.010913,12.521868,9.486607,24.144345,44.587054
10,0.00100000,108.082289,11.627367,99.557168,11.315513,11.272321,28.608631,50.967262
11,0.00100000,93.130427,10.564925,86.463581,10.353244,14.676339,32.905506,56.138393
12,0.00100000,81.866710,9.711990,75.644469,9.505113,17.429315,37.146577,60.342262
13,0.00100000,71.493646,8.848322,65.256220,8.596067,21.893601,42.410714,64.713542
14,0.00100000,62.204061,8.057605,56.297056,7.748008,25.799851,48.307292,68.638393
15,0.00100000,54.351335,7.337338,49.400979,7.097907,31.510417,51.990327,71.595982
16,0.00100000,47.904574,6.708029,43.137272,6.421730,36.383929,56.305804,74.776786
17,0.00100000,41.580828,6.057126,36.902785,5.794567,42.447917,60.844494,78.292411
18,0.00100000,35.997853,5.441765,31.569835,5.187823,46.075149,64.713542,81.212798
19,0.00100000,31.122766,4.900543,26.977248,4.605006,52.511161,68.694196,83.779762
20,0.00100000,26.839842,4.390405,23.156346,4.148827,58.035714,71.819196,86.197917
21,0.00100000,23.169230,3.922546,19.739117,3.689843,61.737351,74.888393,87.927827
22,0.00100000,20.150970,3.529549,16.843444,3.320205,65.159970,78.534226,89.936756
23,0.00100000,17.265060,3.135849,14.136412,2.920519,67.912946,81.380208,92.001488
24,0.00100000,14.938344,2.808418,12.442886,2.751021,67.038690,83.165923,93.117560
25,0.00100000,13.256241,2.564427,10.612923,2.373761,73.530506,84.616815,94.066220
26,0.00100000,11.707249,2.349624,9.276830,2.147179,77.306548,86.532738,95.014881
27,0.00100000,10.308917,2.115590,7.975981,2.036280,80.319940,88.095238,95.740327
28,0.00100000,9.097384,1.927456,6.918707,1.753440,82.440476,89.713542,96.651786
29,0.00100000,8.081333,1.758831,5.994638,1.619938,83.723958,91.276042,97.265625
30,0.00100000,7.143486,1.600435,5.217856,1.447091,85.230655,92.503720,97.433036
31,0.00100000,6.369859,1.499979,4.513999,1.323624,86.700149,93.396577,97.879464
32,0.00100000,5.715828,1.382772,4.045879,1.260442,87.425595,94.177827,98.214286
33,0.00100000,5.149288,1.288022,3.608847,1.209965,88.820685,94.903274,98.660714
34,0.00100000,4.635667,1.161089,3.148298,1.032516,89.546131,95.349702,98.772321
35,0.00100000,4.207897,1.102702,2.825795,0.966461,90.215774,95.684524,98.939732
36,0.00100000,3.860945,1.021648,2.544207,0.960165,91.722470,96.075149,99.107143
37,0.00100000,3.402484,0.953167,2.182952,0.909897,92.392113,97.154018,99.162946
38,0.00100000,3.062003,0.914967,1.931902,0.792169,93.396577,97.488839,99.218750
39,0.00100000,2.751929,0.853079,1.656100,0.676009,94.401042,97.767857,99.441964
40,0.00100000,2.473371,0.802173,1.476601,0.631987,95.070685,97.879464,99.497768
41,0.00100000,2.277917,0.764375,1.374076,0.712415,95.572917,98.046875,99.609375
42,0.00100000,2.046457,0.693952,1.236916,0.646162,95.851935,98.381696,99.665179
43,0.00100000,1.869734,0.673751,1.115235,0.612905,95.684524,98.493304,99.665179
44,0.00100000,1.660469,0.610209,0.934679,0.497157,96.521577,98.660714,99.665179
45,0.00100000,1.504201,0.628807,0.881658,0.615051,96.409970,98.828125,99.665179
46,0.00100000,1.340339,0.568863,0.759553,0.518609,96.912202,98.939732,99.776786
47,0.00100000,1.190368,0.552326,0.661389,0.441874,97.600446,99.051339,99.776786
48,0.00100000,1.057298,0.509949,0.569167,0.396535,97.823661,99.162946,99.776786
49,0.00100000,0.955870,0.505360,0.539725,0.451256,97.712054,99.274554,99.776786
50,0.00100000,0.875264,0.497597,0.510740,0.515278,97.823661,99.330357,99.776786
51,0.00100000,0.780218,0.483350,0.422519,0.393168,98.270089,99.386161,99.776786
52,0.00100000,0.702050,0.455982,0.391430,0.416792,98.325893,99.441964,99.776786
53,0.00100000,0.654674,0.486501,0.346807,0.368331,98.437500,99.553571,99.832589
54,0.00100000,0.581978,0.467511,0.360822,0.497631,98.381696,99.609375,99.832589
55,0.00100000,0.511995,0.417747,0.323866,0.456021,98.716518,99.665179,99.832589
56,0.00100000,0.454382,0.401017,0.257239,0.385756,98.883929,99.776786,99.832589
57,0.00100000,0.418420,0.422775,0.234356,0.344843,98.939732,99.776786,99.832589
58,0.00100000,0.375743,0.406733,0.197618,0.333753,99.107143,99.776786,99.888393
59,0.00100000,0.325648,0.361923,0.196636,0.338332,99.051339,99.776786,100.000000
60,0.00100000,0.283611,0.337882,0.142328,0.256990,99.162946,99.832589,100.000000
61,0.00100000,0.259696,0.338974,0.189316,0.387783,98.995536,99.832589,100.000000
62,0.00100000,0.261774,0.399840,0.130660,0.270230,99.107143,99.832589,100.000000
63,0.00100000,0.228139,0.368722,0.154140,0.396292,99.218750,99.832589,100.000000
64,0.00100000,0.201103,0.339739,0.111131,0.283553,99.162946,99.832589,100.000000
